sample_id,country,location,pop_code
I2_44_3,Iran,Chabahar,IRS
I2_44_4,Iran,Chabahar,IRS
I2_44_5,Iran,Chabahar,IRS
I2_45_2,Iran,Chabahar,IRS
I2_45_4,Iran,Chabahar,IRS
I2_46_1,Iran,Chabahar,IRS
I2_46_2,Iran,Chabahar,IRS
I2_46_3,Iran,Chabahar,IRS
I2_46_5,Iran,Chabahar,IRS
I2_48_1,Iran,Chabahar,IRS
I2_48_2,Iran,Chabahar,IRS
I2_48_4,Iran,Chabahar,IRS
I2_48_5,Iran,Chabahar,IRS
I2_49_1,Iran,Chabahar,IRS
I3_57_2,Iran,Saravan,IRS
I3_57_4,Iran,Saravan,IRS
I3_57_5,Iran,Saravan,IRS
I3_58_1,Iran,Saravan,IRS
I3_58_2,Iran,Saravan,IRS
I3_58_3,Iran,Saravan,IRS
I3_58_4,Iran,Saravan,IRS
I3_58_5,Iran,Saravan,IRS
I3_59_1,Iran,Saravan,IRS
I3_59_2,Iran,Saravan,IRS
I3_59_3,Iran,Saravan,IRS
I3_59_4,Iran,Saravan,IRS
I3_59_5,Iran,Saravan,IRS
I3_60_1,Iran,Saravan,IRS
I3_60_2,Iran,Saravan,IRS
I3_60_3,Iran,Saravan,IRS
I3_60_5,Iran,Saravan,IRS
I3_61_3,Iran,Saravan,IRS
I3_61_4,Iran,Saravan,IRS
I3_62_3,Iran,Saravan,IRS
I3_62_5,Iran,Saravan,IRS
I3_63_2,Iran,Saravan,IRS
I3_64_1,Iran,Saravan,IRS
I3_64_3,Iran,Saravan,IRS
I3_64_5,Iran,Saravan,IRS
I4_68_1,Iran,Bandar Abbas,IRH
I4_68_2,Iran,Bandar Abbas,IRH
I4_68_3,Iran,Bandar Abbas,IRH
I4_68_4,Iran,Bandar Abbas,IRH
I4_68_5,Iran,Bandar Abbas,IRH
I4_68_6,Iran,Bandar Abbas,IRH
I4_69_1,Iran,Bandar Abbas,IRH
I4_69_10,Iran,Bandar Abbas,IRH
I4_69_4,Iran,Bandar Abbas,IRH
I4_69_5,Iran,Bandar Abbas,IRH
I4_69_7,Iran,Bandar Abbas,IRH
I4_69_9,Iran,Bandar Abbas,IRH
I4_70_10,Iran,Bandar Abbas,IRH
I4_70_11,Iran,Bandar Abbas,IRH
I4_70_2,Iran,Bandar Abbas,IRH
I4_70_3,Iran,Bandar Abbas,IRH
I4_70_4,Iran,Bandar Abbas,IRH
I4_70_5,Iran,Bandar Abbas,IRH
I4_70_6,Iran,Bandar Abbas,IRH
I4_70_7,Iran,Bandar Abbas,IRH
I4_70_9,Iran,Bandar Abbas,IRH
I4_71_1,Iran,Bandar Abbas,IRH
I4_71_2,Iran,Bandar Abbas,IRH
I4_71_4,Iran,Bandar Abbas,IRH
I4_71_5,Iran,Bandar Abbas,IRH
Jiga_I_01,Ethiopia,Jiga,ETW
Jiga_I_02,Ethiopia,Jiga,ETW
Jiga_I_03,Ethiopia,Jiga,ETW
Jiga_I_04,Ethiopia,Jiga,ETW
Jiga_I_05,Ethiopia,Jiga,ETW
Jiga_I_07,Ethiopia,Jiga,ETW
Kebr_I_01,Ethiopia,KebriDehar,ETS
Kebr_I_02,Ethiopia,KebriDehar,ETS
Kebr_I_03,Ethiopia,KebriDehar,ETS
Kebr_I_04,Ethiopia,KebriDehar,ETS
Kebr_I_06,Ethiopia,KebriDehar,ETS
Kebr_I_07,Ethiopia,KebriDehar,ETS
Kebr_I_08,Ethiopia,KebriDehar,ETS
Kebr_I_09,Ethiopia,KebriDehar,ETS
Kebr_I_10,Ethiopia,KebriDehar,ETS
Kebr_I_11,Ethiopia,KebriDehar,ETS
Kebr_I_12,Ethiopia,KebriDehar,ETS
Kebr_I_13,Ethiopia,KebriDehar,ETS
Kebr_I_14,Ethiopia,KebriDehar,ETS
Kebr_I_15,Ethiopia,KebriDehar,ETS
Kebr_I_16,Ethiopia,KebriDehar,ETS
Kebr_I_17,Ethiopia,KebriDehar,ETS
Kebr_I_18,Ethiopia,KebriDehar,ETS
Kebr_I_19,Ethiopia,KebriDehar,ETS
Kebr_I_20,Ethiopia,KebriDehar,ETS
Modj_A_03,Ethiopia,Modjo,ETW
Modj_A_07,Ethiopia,Modjo,ETW
Modj_A_08,Ethiopia,Modjo,ETW
Modj_A_11,Ethiopia,Modjo,ETW
Modj_A_16,Ethiopia,Modjo,ETW
Modj_A_25,Ethiopia,Modjo,ETW
Modj_A_26,Ethiopia,Modjo,ETW
Modj_A_28,Ethiopia,Modjo,ETW
Modj_A_31,Ethiopia,Modjo,ETW
Modj_I_01,Ethiopia,Modjo,ETW
Modj_I_02,Ethiopia,Modjo,ETW
Modj_I_04,Ethiopia,Modjo,ETW
Modj_I_05,Ethiopia,Modjo,ETW
Modj_I_07,Ethiopia,Modjo,ETW
Modj_I_08,Ethiopia,Modjo,ETW
Modj_I_09,Ethiopia,Modjo,ETW
Modj_I_10,Ethiopia,Modjo,ETW
Modj_I_25,Ethiopia,Modjo,ETW
Modj_I_29,Ethiopia,Modjo,ETW
Modj_I_31,Ethiopia,Modjo,ETW
MuzSud233,Sudan,PortSudan,SUD
MuzSud234,Sudan,PortSudan,SUD
MuzSud236,Sudan,PortSudan,SUD
MuzSud237,Sudan,PortSudan,SUD
MuzSud238,Sudan,PortSudan,SUD
MuzSud239,Sudan,PortSudan,SUD
MuzSud240,Sudan,PortSudan,SUD
MuzSud241,Sudan,PortSudan,SUD
MuzSud243,Sudan,PortSudan,SUD
MuzSud244,Sudan,PortSudan,SUD
MuzSud245,Sudan,PortSudan,SUD
MuzSud246,Sudan,PortSudan,SUD
MuzSud247,Sudan,PortSudan,SUD
MuzSud248,Sudan,PortSudan,SUD
MuzSud249,Sudan,PortSudan,SUD
MuzSud250,Sudan,PortSudan,SUD
PMJDE2,Pakistan,Azakhel,APA
PMJDE4,Pakistan,Azakhel,APA
PMJDF4,Pakistan,Azakhel,APA
PMJDG2,Pakistan,Azakhel,APA
PMJDG4,Pakistan,Azakhel,APA
PMJDH2,Pakistan,Azakhel,APA
PMJDH3,Pakistan,Azakhel,APA
Plate1_A2,Sudan,Wafara,SUD
Plate1_A4,Sudan,Wafara,SUD
Plate1_B3,Sudan,Wafara,SUD
Plate1_D2,Sudan,Wafara,SUD
Plate1_D3,Sudan,Wafara,SUD
Plate1_E12,Sudan,Haiya,SUD
Plate1_E2,Sudan,Wafara,SUD
Plate1_G12,Sudan,Haiya,SUD
Plate1_G2,Sudan,Wafara,SUD
Plate1_H10,Sudan,ElSalamaniaWest,SUD
Plate1_H12,Sudan,Haiya,SUD
Plate1_H2,Sudan,Wafara,SUD
Plate2_A10,Sudan,ElSalamaniaWest,SUD
Plate2_A3,Sudan,EastElglabat,SUD
Plate2_A6,Sudan,Arkaweet,SUD
Plate2_A9,Sudan,PortSudan,SUD
Plate2_B1,Sudan,Haiya,SUD
Plate2_B11,Sudan,PortSudan,SUD
Plate2_B4,Sudan,EastElglabat,SUD
Plate2_B5,Sudan,EastElglabat,SUD
Plate2_B6,Sudan,Arkaweet,SUD
Plate2_B8,Sudan,PortSudan,SUD
Plate2_C2,Sudan,Haiya,SUD
Plate2_D2,Sudan,Haiya,SUD
Plate2_D8,Sudan,PortSudan,SUD
Plate2_E12,Sudan,PortSudan,SUD
Plate2_E2,Sudan,Haiya,SUD
Plate2_E7,Sudan,PortSudan,SUD
Plate2_F12,Sudan,PortSudan,SUD
Plate2_F2,Sudan,Haiya,SUD
Plate2_F8,Sudan,PortSudan,SUD
Plate2_G11,Sudan,PortSudan,SUD
Plate2_G4,Sudan,EastElglabat,SUD
Plate2_H5,Sudan,Arkaweet,SUD
Plate2_H9,Sudan,ElSalamaniaWest,SUD
QAzCPak030,Pakistan,Azakhel,APA
QAzCPak062,Pakistan,Azakhel,APA
QNagPak004,Pakistan,Naguman,APA
QNagPak012,Pakistan,Naguman,APA
QNagpak028,Pakistan,Naguman,APA
R1,SaudiArabia,Riyadh,SAR
R11B,SaudiArabia,Riyadh,SAR
R16,SaudiArabia,Riyadh,SAR
R17B,SaudiArabia,Riyadh,SAR
R17,SaudiArabia,Riyadh,SAR
R17D,SaudiArabia,Riyadh,SAR
R17E,SaudiArabia,Riyadh,SAR
R17F,SaudiArabia,Riyadh,SAR
R1C,SaudiArabia,Riyadh,SAR
R1D,SaudiArabia,Riyadh,SAR
R1E,SaudiArabia,Riyadh,SAR
R20,SaudiArabia,Riyadh,SAR
R20B,SaudiArabia,Riyadh,SAR
R21,SaudiArabia,Riyadh,SAR
R22,SaudiArabia,Riyadh,SAR
R3,SaudiArabia,Riyadh,SAR
R3D,SaudiArabia,Riyadh,SAR
R3E,SaudiArabia,Riyadh,SAR
R4,SaudiArabia,Riyadh,SAR
R5,SaudiArabia,Riyadh,SAR
SRR15257906,India,Bangalore,INB
SRR15257908,India,Bangalore,INB
SRR15257909,India,Bangalore,INB
SRR15257910,India,Bangalore,INB
SRR15257912,India,Bangalore,INB
SRR15257913,India,Bangalore,INB
SRR15257914,India,Bangalore,INB
SRR15257915,India,Bangalore,INB
SRR15293886,India,Mangalore,INM
SRR15293887,India,Mangalore,INM
SRR15293888,India,Mangalore,INM
SRR15293889,India,Mangalore,INM
SRR15293892,India,Mangalore,INM
SRR15293893,India,Mangalore,INM
SRR15293894,India,Mangalore,INM
Yem001,Yemen,AdenCity,YEM
Yem002,Yemen,AdenCity,YEM
Yem006,Yemen,AdenCity,YEM
Yem008,Yemen,AdenCity,YEM
Yem011,Yemen,AdenCity,YEM
Yem012,Yemen,AdenCity,YEM
Yeme_A_01,Yemen,AdenCity,YEM
Yeme_A_02,Yemen,AdenCity,YEM
Yeme_A_03,Yemen,AdenCity,YEM
Yeme_A_04,Yemen,AdenCity,YEM
Yeme_A_05,Yemen,AdenCity,YEM
Yeme_A_06,Yemen,AdenCity,YEM
Yeme_A_08,Yemen,AdenCity,YEM
Yeme_A_09,Yemen,AdenCity,YEM
Yeme_A_10,Yemen,AdenCity,YEM
Yeme_A_11,Yemen,AdenCity,YEM
Yeme_A_12,Yemen,AdenCity,YEM
Yeme_A_13,Yemen,AdenCity,YEM
Yeme_A_14,Yemen,AdenCity,YEM
Yeme_A_15,Yemen,AdenCity,YEM
Yeme_A_17,Yemen,AdenCity,YEM
Yeme_A_19,Yemen,AdenCity,YEM
